,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),month,day,Final_Hour
45,31.0,4.7,21.173343,72.792731,21.233343,72.852731,5.0,4,2,2,3,0.0,0,3.0,16,3,26,23
46,24.0,4.7,10.96185,76.971082,11.05185,77.061082,6.0,3,0,4,3,0.0,0,,19,3,10,17
47,39.0,4.6,27.165108,78.015053,27.255108,78.105053,6.0,4,1,2,3,1.0,0,3.0,27,2,14,22
48,39.0,4.2,0.0,0.0,0.08,0.08,4.0,1,2,2,2,1.0,0,,49,3,2,20
50,36.0,4.7,0.0,0.0,0.06,0.06,5.0,1,1,2,3,1.0,0,3.0,30,3,13,20
51,25.0,4.8,26.913987,75.752891,26.993987,75.832891,2.0,4,1,1,2,0.0,0,,18,3,29,22
52,33.0,4.9,12.3085,76.665808,12.3385,76.695808,6.0,1,2,1,2,0.0,0,3.0,22,3,30,22
53,30.0,4.4,21.183434,72.814492,21.253434,72.884492,5.0,4,2,1,2,1.0,0,3.0,34,3,12,22
54,33.0,5.0,19.254567,72.848923,19.364567,72.958923,2.0,4,0,4,3,0.0,0,,24,3,31,23
55,36.0,4.9,18.55144,73.804855,18.59144,73.844855,4.0,3,2,1,2,1.0,0,3.0,17,3,17,15
56,21.0,4.8,25.449659,81.839744,25.469659,81.859744,2.0,4,2,3,1,0.0,0,3.0,14,2,15,10
57,39.0,4.9,30.372202,78.077151,30.422202,78.127151,1.0,1,2,3,3,1.0,0,3.0,30,2,15,10
58,23.0,4.8,0.0,0.0,0.02,0.02,1.0,4,1,3,2,1.0,0,3.0,15,3,7,10
59,35.0,4.8,0.0,0.0,0.04,0.04,4.0,3,2,4,2,1.0,0,,16,3,28,16
60,39.0,4.6,12.972793,80.249982,13.062793,80.339982,5.0,1,1,2,2,1.0,0,3.0,36,3,16,20
61,22.0,4.7,21.157735,72.768778,21.197735,72.808778,6.0,2,1,4,2,1.0,0,,18,3,17,12
62,32.0,4.6,21.186438,72.794115,21.226438,72.834115,4.0,3,1,3,2,0.0,0,3.0,17,3,15,15
63,24.0,4.8,0.0,0.0,0.08,0.08,2.0,4,1,4,3,1.0,0,,15,3,25,22
64,29.0,4.7,0.0,0.0,0.02,0.02,4.0,4,0,4,3,1.0,0,3.0,17,3,9,10
66,26.0,4.7,17.431477,78.40035,17.491477,78.46035,4.0,4,1,4,3,0.0,0,3.0,10,3,5,24
67,20.0,4.5,0.0,0.0,0.05,0.05,4.0,1,1,1,3,1.0,0,3.0,27,2,11,21
68,35.0,4.1,13.064181,80.236442,13.154181,80.326442,2.0,1,1,4,3,2.0,0,3.0,37,3,12,20
69,39.0,4.6,12.933298,77.614293,13.023298,77.704293,4.0,1,1,1,2,2.0,0,3.0,44,3,29,21
70,34.0,4.7,22.311358,73.164798,22.351358,73.204798,,2,2,1,1,1.0,0,3.0,28,3,19,12
71,27.0,4.7,12.934365,77.616155,13.044365,77.726155,5.0,1,2,2,2,1.0,0,3.0,42,3,10,21
72,30.0,4.8,0.0,0.0,0.11,0.11,,4,1,2,3,1.0,0,3.0,25,2,16,23
73,25.0,4.4,13.086438,80.220672,13.196438,80.330672,5.0,3,2,2,2,1.0,0,3.0,39,3,27,18
74,25.0,4.7,19.254567,72.848923,19.364567,72.958923,1.0,3,0,3,3,0.0,0,,20,3,27,18
75,30.0,5.0,26.913483,75.803139,26.933483,75.823139,1.0,2,1,4,3,1.0,0,3.0,31,3,24,11
76,24.0,4.6,17.411028,78.329645,17.471028,78.389645,1.0,1,1,4,3,0.0,0,3.0,13,3,9,20
77,39.0,4.8,18.516216,73.842527,18.566216,73.892527,1.0,1,1,3,3,0.0,0,3.0,28,3,3,22
78,25.0,4.8,15.5696,73.742294,15.6096,73.782294,,2,1,2,2,1.0,0,,19,2,15,12
79,37.0,4.6,19.876428,75.364792,19.956428,75.444792,4.0,4,0,4,3,2.0,1,,42,2,18,23
80,24.0,5.0,12.939496,77.625999,12.949496,77.635999,4.0,4,0,1,3,1.0,0,3.0,23,3,1,10
81,25.0,4.2,17.433809,78.386744,17.543809,78.496744,1.0,1,0,3,3,1.0,0,3.0,39,3,23,21
82,32.0,4.6,23.374878,85.335739,23.384878,85.345739,1.0,4,2,1,3,1.0,0,3.0,25,4,1,10
83,34.0,4.7,-27.163303,78.057044,27.233303,78.127044,2.0,4,1,1,2,0.0,0,3.0,15,2,16,23
84,38.0,4.9,22.74806,75.8934,22.76806,75.9134,5.0,4,2,1,2,1.0,0,,15,3,11,8
85,36.0,4.8,26.891191,75.802083,26.981191,75.892083,6.0,3,2,4,1,0.0,0,3.0,15,3,14,17
86,25.0,5.0,21.160437,72.774209,21.270437,72.884209,1.0,1,1,3,3,0.0,0,3.0,15,3,18,20
87,29.0,5.0,12.316967,76.603067,12.366967,76.653067,6.0,4,0,1,3,0.0,0,3.0,18,4,1,22
88,36.0,4.7,18.927584,72.832585,19.017584,72.922585,2.0,4,2,1,1,0.0,0,3.0,29,4,4,23
89,33.0,4.7,11.022298,76.998349,11.072298,77.048349,4.0,4,0,2,3,0.0,0,3.0,20,3,11,23
90,36.0,4.4,12.325461,76.632278,12.365461,76.672278,5.0,2,2,3,2,1.0,0,3.0,39,3,13,12
91,21.0,4.8,18.530963,73.828972,18.640963,73.938972,,4,0,2,3,0.0,0,3.0,19,3,4,23
92,25.0,4.8,17.458998,78.500366,17.488998,78.530366,5.0,4,1,2,2,1.0,0,,19,3,26,24
93,23.0,4.8,19.1813,72.836191,19.3113,72.966191,,4,0,3,3,0.0,0,3.0,17,3,16,23
94,25.0,4.6,11.022477,76.995667,11.032477,77.005667,1.0,4,2,2,3,1.0,0,,15,3,1,10
95,24.0,4.3,22.727021,75.884167,22.747021,75.904167,2.0,4,0,3,3,0.0,0,,19,3,15,22
96,27.0,4.6,12.979166,77.640709,13.069166,77.730709,2.0,1,0,4,3,1.0,0,3.0,29,3,4,21
97,23.0,4.8,18.994237,72.825553,19.104237,72.935553,5.0,4,2,2,2,1.0,0,,22,3,18,22
98,21.0,4.3,12.284747,76.625861,12.414747,76.755861,4.0,1,1,1,2,0.0,0,3.0,42,3,23,20
99,27.0,4.7,21.175975,72.795503,21.195975,72.815503,2.0,4,2,2,2,0.0,0,,12,3,15,11
100,32.0,4.2,11.000762,76.981876,11.130762,77.111876,5.0,1,1,2,3,1.0,0,3.0,38,3,8,20
101,25.0,4.6,21.173343,72.792731,21.283343,72.902731,6.0,4,0,1,3,1.0,0,3.0,23,3,10,23
102,39.0,4.7,26.479108,80.315042,26.499108,80.335042,5.0,4,1,3,2,0.0,0,3.0,15,2,11,10
103,27.0,4.6,21.175104,72.804342,21.255104,72.884342,6.0,4,0,2,3,1.0,0,3.0,24,3,14,23
104,39.0,3.8,19.176269,72.836721,19.286269,72.946721,,1,1,1,3,0.0,0,3.0,37,3,16,10
105,31.0,4.8,12.975377,77.696664,13.025377,77.746664,2.0,4,1,2,2,0.0,0,3.0,24,3,1,22
106,31.0,4.8,23.359194,85.325447,23.419194,85.385447,6.0,4,2,4,1,0.0,0,3.0,13,3,1,23
108,36.0,4.9,23.359407,85.325055,23.439407,85.405055,5.0,3,0,1,3,1.0,0,,42,3,2,18
109,20.0,4.9,23.416792,85.316842,23.506792,85.406842,2.0,4,0,3,3,1.0,0,3.0,17,3,20,22
110,24.0,4.6,26.892312,75.806896,26.922313,75.836896,5.0,1,0,1,3,0.0,0,3.0,25,4,3,21
112,39.0,4.2,22.761593,75.886362,22.871593,75.996362,4.0,3,1,2,2,0.0,0,3.0,39,3,29,18
113,37.0,4.8,11.026117,76.944652,11.066117,76.984652,6.0,2,2,3,2,0.0,0,3.0,18,3,17,15
114,32.0,4.9,13.064181,80.236442,13.104181,80.276442,2.0,3,2,1,3,1.0,0,3.0,28,3,17,20
115,22.0,4.5,26.483042,80.317833,26.533042,80.367833,2.0,4,1,1,2,1.0,0,3.0,18,2,15,22
116,23.0,4.9,11.000762,76.981876,11.130762,77.111876,,4,1,3,2,0.0,0,3.0,18,3,18,24
117,33.0,4.7,23.359033,85.325347,23.469033,85.435347,4.0,1,1,2,2,1.0,0,3.0,49,3,8,21
118,23.0,4.7,22.569358,88.433452,22.599358,88.463452,6.0,4,0,1,3,0.0,0,3.0,15,2,17,23
119,27.0,4.6,12.914264,77.6784,12.994264,77.7584,6.0,4,0,1,3,1.0,0,3.0,21,3,31,23
120,34.0,4.7,19.121999,72.908493,19.161999,72.948493,6.0,2,2,2,2,0.0,0,3.0,23,3,1,14
121,26.0,5.0,21.157729,72.768726,21.167729,72.778726,4.0,4,2,3,2,1.0,0,,11,4,3,10
122,31.0,4.6,22.311603,73.165012,22.371603,73.225012,5.0,1,0,2,3,0.0,0,3.0,25,3,24,21
123,32.0,4.9,18.536562,73.896485,18.556562,73.916485,4.0,4,2,2,3,0.0,0,3.0,18,3,7,8
124,27.0,4.7,22.745536,75.893106,22.765536,75.913106,5.0,4,1,4,3,0.0,0,3.0,14,3,9,9
125,21.0,4.9,12.933298,77.614293,13.023298,77.704293,,3,0,1,3,2.0,0,3.0,36,3,12,10
126,28.0,4.8,12.939496,77.625999,12.989496,77.675999,4.0,4,1,1,3,2.0,0,3.0,18,3,24,23
127,24.0,4.9,0.0,0.0,0.04,0.04,4.0,3,1,3,2,1.0,0,,17,3,30,16
128,33.0,4.4,17.426228,78.407495,17.436228,78.417495,2.0,4,0,2,3,1.0,0,3.0,28,3,5,8
129,20.0,4.6,12.934365,77.616155,13.024365,77.706155,4.0,1,0,4,3,0.0,1,3.0,44,3,18,20
130,31.0,4.3,11.003669,76.976494,11.063669,77.036494,,4,0,2,3,1.0,0,3.0,20,3,13,23
132,36.0,5.0,22.311358,73.164798,22.381358,73.234798,4.0,1,1,2,3,1.0,0,3.0,35,3,31,20
133,31.0,4.2,12.986047,80.218114,13.096047,80.328114,2.0,1,0,3,3,1.0,0,3.0,50,3,23,21
134,39.0,4.1,17.41233,78.449654,17.47233,78.509654,1.0,1,1,3,2,1.0,0,3.0,34,3,24,21
135,29.0,4.6,21.17106,72.789292,21.25106,72.869292,6.0,1,2,3,1,1.0,0,3.0,17,3,12,19
136,29.0,4.6,21.186884,72.793616,21.226884,72.833616,2.0,2,1,2,2,0.0,0,,23,3,3,19
137,37.0,4.9,11.026117,76.944652,11.056117,76.974652,4.0,3,0,4,3,1.0,0,3.0,27,3,9,18
138,33.0,4.7,0.0,0.0,0.04,0.04,5.0,2,0,2,3,0.0,0,,26,3,17,12
139,31.0,3.9,19.065838,72.832658,19.135838,72.902658,5.0,4,1,4,2,1.0,0,3.0,35,3,18,23
140,37.0,4.6,0.0,0.0,0.04,0.04,,2,0,1,3,1.0,0,,41,3,19,12
142,24.0,4.6,11.022477,76.995667,11.132477,77.105667,1.0,3,0,2,3,0.0,0,3.0,30,3,4,14
143,23.0,4.8,0.0,0.0,0.02,0.02,,4,1,4,2,1.0,0,3.0,19,4,3,10
144,36.0,4.9,0.0,0.0,0.01,0.01,,4,1,4,2,1.0,0,3.0,27,3,11,9
145,39.0,4.8,12.310972,76.659264,12.350972,76.699264,5.0,2,0,2,3,1.0,0,3.0,28,4,1,12
146,20.0,4.7,11.025083,77.015393,11.105083,77.095393,2.0,3,0,1,3,1.0,0,3.0,24,3,20,17
147,20.0,5.0,12.316967,76.603067,12.446967,76.733067,5.0,1,0,3,3,1.0,0,,36,3,31,19
148,29.0,4.3,22.538731,88.364878,22.598731,88.424878,2.0,4,0,4,3,0.0,0,3.0,28,2,13,23
149,36.0,4.8,11.001753,76.986241,11.111753,77.096241,4.0,3,2,1,3,1.0,0,,31,3,29,18
150,36.0,4.0,22.310237,73.158921,22.400237,73.248921,6.0,1,0,3,3,3.0,0,3.0,44,3,16,20
151,22.0,4.8,23.359033,85.325347,23.439033,85.405347,,4,1,1,2,1.0,0,3.0,15,3,14,22
152,38.0,4.4,18.593481,73.785901,18.663481,73.855901,,3,0,4,3,1.0,0,3.0,33,3,31,17
153,39.0,4.9,21.186438,72.794115,21.236438,72.844115,4.0,1,0,4,3,0.0,0,3.0,30,3,17,20
154,24.0,4.9,22.725748,75.898497,22.775748,75.948497,1.0,3,1,2,2,1.0,0,3.0,22,3,28,18
155,30.0,4.1,0.0,0.0,0.07,0.07,4.0,4,0,2,3,0.0,0,3.0,43,4,4,1
156,35.0,4.8,17.450851,78.379347,17.540851,78.469347,4.0,3,0,3,3,3.0,0,3.0,48,3,4,17
157,33.0,4.5,13.081878,80.248519,13.171878,80.338519,1.0,4,2,1,1,1.0,0,3.0,19,3,4,1
158,39.0,4.7,10.035573,76.336958,10.105573,76.406958,,3,1,2,3,1.0,0,,21,2,14,18
159,31.0,4.3,22.308096,73.167753,22.388096,73.247753,,1,1,1,3,0.0,0,3.0,44,3,25,21
160,37.0,4.5,12.975996,80.221898,12.985996,80.231898,,4,2,1,2,0.0,0,3.0,26,3,17,8
161,37.0,4.7,12.3085,76.665808,12.3385,76.695808,,4,1,4,2,1.0,0,3.0,26,4,1,22
162,33.0,5.0,19.178321,72.834715,19.188321,72.844715,,2,1,3,3,1.0,0,3.0,31,3,19,11
163,24.0,4.6,0.0,0.0,0.06,0.06,1.0,4,2,3,2,1.0,0,,19,3,7,23
164,33.0,4.5,26.910262,75.783013,26.990262,75.863013,6.0,1,1,2,2,0.0,0,3.0,18,3,2,19
165,39.0,4.7,25.443994,81.860187,25.513994,81.930187,4.0,3,2,3,3,1.0,0,3.0,38,2,16,21
166,37.0,4.6,23.359194,85.325447,23.449194,85.415447,5.0,3,1,2,3,1.0,0,3.0,32,3,29,18
167,25.0,4.9,17.458998,78.500366,17.508998,78.550366,2.0,4,2,3,2,1.0,0,3.0,17,3,7,22
168,28.0,4.8,18.530963,73.828972,18.590963,73.888972,4.0,3,1,4,2,1.0,0,,11,3,3,19
169,38.0,4.7,12.321214,76.621094,12.361214,76.661094,,2,2,4,3,1.0,0,3.0,31,3,30,13
170,30.0,4.7,26.913483,75.803139,26.983483,75.873139,2.0,3,0,1,3,0.0,0,3.0,43,3,12,17
171,31.0,4.6,12.3085,76.665808,12.3685,76.725808,,3,0,3,3,0.0,0,3.0,25,3,19,18
172,25.0,4.8,19.055831,72.833984,19.115831,72.893984,5.0,1,2,2,3,1.0,0,3.0,22,3,15,20
173,35.0,4.9,12.337928,76.617889,12.407928,76.687889,4.0,1,0,1,3,3.0,0,3.0,43,3,2,21
174,39.0,4.7,23.351489,85.324253,23.421489,85.394253,4.0,1,0,4,3,1.0,1,3.0,42,3,31,19
175,38.0,3.9,22.728163,75.884212,22.808163,75.964212,1.0,1,1,3,3,0.0,0,3.0,42,3,6,19
176,35.0,4.7,13.026286,80.275235,13.056286,80.305235,4.0,1,1,1,3,1.0,0,3.0,34,3,21,21
177,29.0,4.7,26.766536,75.837333,26.786536,75.857333,2.0,4,1,2,3,1.0,0,3.0,17,3,1,10
178,27.0,4.6,21.149834,72.778666,21.179834,72.808666,1.0,1,1,2,2,0.0,0,3.0,25,3,24,20
179,38.0,4.3,12.3085,76.665808,12.3985,76.755808,2.0,1,0,3,3,1.0,1,,54,4,4,21
180,36.0,4.9,21.149669,72.772629,21.219669,72.842629,,4,2,4,3,0.0,0,3.0,21,3,2,23
181,26.0,4.0,17.411028,78.329645,17.451028,78.369645,5.0,2,1,4,3,0.0,0,3.0,34,4,1,15
182,26.0,4.1,26.482581,80.315628,26.572581,80.405628,4.0,1,2,3,3,1.0,0,3.0,36,2,12,19
183,36.0,4.9,12.284747,76.625861,12.344747,76.685861,6.0,3,1,1,3,0.0,0,3.0,17,4,5,17
184,21.0,4.7,26.911378,75.789034,26.921378,75.799034,6.0,4,0,3,3,1.0,0,3.0,16,3,3,9
185,35.0,4.7,13.02978,80.208812,13.10978,80.288812,6.0,1,2,3,1,1.0,0,3.0,27,4,6,20
186,20.0,4.5,12.323194,76.630583,12.363194,76.670583,4.0,2,2,3,3,1.0,0,3.0,26,3,17,12
187,23.0,4.6,18.563934,73.915367,18.653934,74.005367,4.0,1,0,2,3,2.0,1,3.0,46,3,31,21
188,37.0,5.0,22.569367,88.433187,22.629367,88.493187,6.0,1,0,4,3,0.0,0,3.0,29,2,17,20
189,26.0,4.8,12.949934,77.699386,13.009934,77.759386,2.0,1,0,2,3,1.0,0,3.0,23,3,9,19
190,29.0,5.0,21.175975,72.795503,21.255975,72.875503,2.0,4,1,2,2,1.0,0,,11,3,27,22
191,26.0,4.9,22.725835,75.887648,22.835835,75.997648,1.0,3,1,2,3,0.0,0,3.0,28,3,25,17
192,29.0,4.8,18.536562,73.896485,18.596562,73.956485,5.0,1,0,3,3,1.0,0,3.0,25,3,11,19
193,29.0,4.7,23.416792,85.316842,23.436792,85.336842,2.0,4,2,2,3,0.0,0,3.0,11,3,3,10
194,21.0,4.9,30.89286,75.822199,30.92286,75.852199,,3,1,3,2,1.0,0,3.0,26,2,15,18
195,22.0,4.3,12.310972,76.659264,12.330972,76.679264,1.0,4,0,3,3,1.0,0,3.0,23,3,7,10
196,31.0,4.0,26.913987,75.752891,26.993987,75.832891,4.0,3,1,2,3,2.0,0,3.0,39,3,18,18
198,30.0,3.9,22.310237,73.158921,22.390237,73.238921,1.0,1,2,1,1,0.0,0,3.0,32,4,6,20
199,36.0,4.8,12.933284,77.615428,13.003284,77.685428,4.0,3,0,2,3,1.0,0,3.0,43,3,6,18
200,24.0,4.7,12.297954,76.665169,12.337954,76.705169,4.0,3,1,4,2,1.0,0,3.0,13,3,19,15
201,32.0,4.7,12.352058,76.60665,12.362058,76.61665,,4,2,4,1,0.0,0,3.0,25,3,21,9
202,25.0,5.0,13.086438,80.220672,13.146439,80.280672,,3,1,1,3,0.0,0,3.0,27,3,19,18
203,27.0,4.5,17.429585,78.392621,17.469585,78.432621,,3,2,1,2,1.0,0,3.0,29,3,28,15
204,32.0,4.1,12.978453,77.643685,13.048453,77.713685,2.0,3,0,4,3,1.0,0,3.0,33,3,29,18
205,23.0,4.7,13.044694,80.26147,13.084694,80.30147,4.0,3,1,1,3,1.0,0,,19,3,17,19
206,39.0,4.4,12.98041,77.640489,13.11041,77.770489,6.0,3,0,3,3,1.0,0,3.0,33,3,29,18
207,20.0,4.8,0.0,0.0,0.06,0.06,4.0,1,1,2,3,1.0,0,3.0,28,3,21,19
209,29.0,4.6,25.449659,81.839744,25.479659,81.869744,1.0,1,1,3,2,1.0,0,3.0,29,2,15,20
210,26.0,4.9,26.911927,75.797282,27.051927,75.937282,1.0,4,2,3,2,1.0,0,3.0,18,3,29,18
211,25.0,5.0,10.020683,76.310631,10.030683,76.320631,1.0,4,1,3,3,1.0,0,3.0,14,2,13,15
212,34.0,4.7,12.935662,77.61413,12.975662,77.65413,,3,1,2,3,1.0,0,3.0,30,4,3,16
213,31.0,4.9,15.585658,73.743606,15.625658,73.783606,6.0,2,0,2,3,0.0,0,3.0,28,2,13,15
214,24.0,4.7,0.0,0.0,0.13,0.13,4.0,1,0,2,3,1.0,0,3.0,39,3,16,20
215,30.0,4.9,17.429585,78.392621,17.519585,78.482621,5.0,3,2,3,3,0.0,0,3.0,30,4,2,19
216,36.0,4.8,26.766536,75.837333,26.896536,75.967333,2.0,3,0,4,3,1.0,0,3.0,36,3,20,18
217,36.0,4.4,26.846156,75.8023,26.986156,75.9423,4.0,4,0,2,3,1.0,0,3.0,37,3,29,23
218,26.0,4.7,26.913987,75.752891,27.053987,75.892891,5.0,1,0,3,3,1.0,0,3.0,43,3,4,19
220,20.0,4.8,0.0,0.0,0.03,0.03,1.0,3,2,1,2,1.0,0,3.0,25,2,11,18
221,33.0,4.7,12.972532,77.608179,13.022532,77.658179,4.0,3,2,4,1,1.0,0,,15,3,9,18
222,30.0,4.7,0.0,0.0,0.07,0.07,2.0,1,1,2,2,0.0,0,3.0,24,3,2,20
223,34.0,4.0,19.103249,72.846749,19.193249,72.936749,,1,0,2,3,2.0,0,3.0,39,3,12,21
224,36.0,4.6,17.426228,78.407495,17.506228,78.487495,,4,0,4,3,1.0,0,3.0,20,4,4,23
225,33.0,4.6,26.471617,80.313564,26.491617,80.333564,4.0,4,1,4,3,1.0,0,3.0,15,2,11,11
226,22.0,4.8,19.866969,75.318894,19.976969,75.428894,2.0,4,1,1,3,1.0,0,3.0,16,2,18,23
227,38.0,4.7,18.593481,73.785901,18.603481,73.795901,6.0,4,2,1,2,1.0,0,3.0,19,3,19,11
228,27.0,4.9,12.906229,77.596791,12.986229,77.676791,4.0,4,2,1,2,0.0,0,3.0,20,3,2,23
229,32.0,4.8,26.482581,80.315628,26.552581,80.385628,6.0,1,2,3,2,1.0,0,3.0,25,2,14,21
230,26.0,4.8,12.933298,77.614293,13.013298,77.694293,5.0,1,0,2,3,1.0,0,3.0,43,3,27,19
231,29.0,4.5,22.751857,75.866699,22.881857,75.996699,,4,0,1,3,0.0,0,,15,3,4,23
232,31.0,4.5,11.010375,76.95295,11.090375,77.03295,6.0,1,0,4,3,0.0,0,,29,4,6,20
233,28.0,4.6,17.483216,78.552111,17.523216,78.592111,1.0,2,2,1,3,0.0,0,3.0,14,3,26,12
234,21.0,4.8,27.160934,78.044095,27.220934,78.104095,6.0,3,1,4,3,1.0,0,3.0,11,2,11,18
235,21.0,4.0,11.006686,76.951736,11.056686,77.001736,2.0,4,0,4,3,1.0,0,3.0,19,3,28,22
236,30.0,4.9,0.0,0.0,0.08,0.08,,4,1,1,3,1.0,0,3.0,29,3,18,23
237,29.0,4.7,25.457687,81.835585,25.497687,81.875585,5.0,3,2,4,3,1.0,0,,11,2,11,15
238,20.0,4.8,19.12663,72.829976,19.13663,72.839976,6.0,2,1,2,3,0.0,0,3.0,14,3,28,11
239,28.0,5.0,19.875016,75.322405,19.965016,75.412405,,4,0,2,3,0.0,0,,15,2,16,22
240,25.0,4.7,19.178321,72.834715,19.248321,72.904715,2.0,4,0,3,3,1.0,0,3.0,16,3,16,23
242,38.0,4.8,13.026279,80.174568,13.046279,80.194568,1.0,4,1,4,3,1.0,0,3.0,20,3,28,10
243,39.0,4.9,17.455894,78.375467,17.485894,78.405467,1.0,4,1,1,3,1.0,0,3.0,26,3,3,22
