Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),month,day,Final_Hour
33997,31.0,3.6,21.160437,72.774209,21.290437,72.904209,1.0,3,1,3,2,1.0,0,3.0,37,4,2,17
39588,26.0,4.9,21.173493,72.801953,21.253493,72.881953,1.0,1,2,2,1,1.0,0,3.0,18,3,10,21
17726,36.0,4.8,19.207222,72.972281,19.337222,73.102281,1.0,4,2,4,2,1.0,0,3.0,18,3,23,22
29048,31.0,4.9,18.636215,73.751081,18.666215,73.781081,5.0,3,0,4,3,0.0,0,3.0,27,3,15,19
33208,36.0,4.7,13.058616,80.264151,13.148616,80.354151,,1,0,3,3,0.0,0,3.0,41,4,2,22
14263,34.0,4.4,0.0,0.0,0.11,0.11,2.0,1,2,1,2,1.0,0,3.0,31,2,16,20
41655,32.0,4.8,11.02091,76.940432,11.05091,76.970432,6.0,1,1,3,2,0.0,0,,17,3,7,19
29514,33.0,4.8,17.483216,78.552111,17.503216,78.572111,4.0,4,2,3,1,1.0,0,,15,3,21,8
32605,31.0,4.8,0.0,0.0,0.02,0.02,1.0,2,2,2,3,0.0,0,3.0,28,2,17,11
40542,23.0,4.8,18.563934,73.915367,18.693935,74.045367,1.0,1,2,3,3,0.0,0,3.0,15,3,18,20
37202,22.0,5.0,17.411028,78.329645,17.471028,78.389645,1.0,4,1,2,3,1.0,0,3.0,11,3,30,23
1641,38.0,4.5,22.722634,75.886959,22.792634,75.956959,4.0,1,0,2,3,1.0,0,3.0,44,3,23,20
19003,33.0,5.0,0.0,0.0,0.05,0.05,4.0,3,0,1,3,1.0,0,3.0,26,3,7,18
16371,27.0,4.9,19.888716,75.321461,19.928716,75.361461,5.0,2,0,2,3,1.0,0,3.0,26,2,15,14
20629,31.0,4.8,15.56155,73.749092,15.59155,73.779092,5.0,4,2,2,2,1.0,0,3.0,19,2,11,23
37360,29.0,5.0,22.722634,75.886959,22.812634,75.976959,,3,2,1,2,1.0,0,3.0,24,3,4,18
8880,33.0,4.6,18.516216,73.842527,18.556216,73.882527,2.0,3,1,4,3,1.0,0,3.0,28,3,1,17
32666,31.0,5.0,12.3085,76.665808,12.4385,76.795808,4.0,1,1,4,3,2.0,0,3.0,44,3,8,18
10090,35.0,4.6,26.902908,75.792934,26.962908,75.852934,6.0,1,2,1,2,1.0,0,,16,3,3,19
27932,38.0,4.6,12.284747,76.625861,12.374747,76.715861,5.0,3,0,4,3,0.0,0,3.0,38,3,2,17
14738,22.0,4.8,19.22384,72.841347,19.23384,72.851347,1.0,2,2,3,2,0.0,0,,15,3,17,11
15727,35.0,5.0,27.165108,78.015053,27.215108,78.065053,2.0,4,2,2,3,0.0,0,,28,2,17,23
3113,30.0,4.7,0.0,0.0,0.02,0.02,2.0,4,2,3,3,1.0,0,3.0,25,3,1,8
19453,26.0,4.7,23.359194,85.325447,23.379194,85.345447,1.0,4,2,2,1,0.0,0,3.0,19,4,1,9
40653,39.0,4.3,0.0,0.0,0.08,0.08,1.0,3,1,1,2,1.0,0,3.0,38,2,18,17
36776,24.0,4.4,22.744648,75.894377,22.874648,76.024377,4.0,1,1,2,2,0.0,0,3.0,42,3,6,19
37131,34.0,4.9,26.913987,75.752891,26.923987,75.762891,1.0,4,2,3,3,1.0,0,3.0,23,3,7,9
34181,39.0,4.9,0.0,0.0,0.09,0.09,,3,0,4,3,1.0,0,3.0,44,2,16,18
44676,28.0,4.7,26.472001,80.354002,26.532001,80.414002,4.0,1,0,4,3,1.0,0,3.0,29,2,13,21
36637,26.0,5.0,19.003517,72.82765,19.133517,72.95765,6.0,4,0,2,3,1.0,0,3.0,24,3,6,24
12134,22.0,4.5,23.357804,85.325146,23.437804,85.405146,1.0,4,0,2,3,0.0,0,3.0,15,4,4,22
23423,31.0,4.5,21.175975,72.795503,21.255975,72.875503,1.0,3,2,3,1,1.0,0,3.0,23,3,18,17
23945,39.0,4.8,22.547186,88.35068,22.587186,88.39068,4.0,2,0,3,3,1.0,0,3.0,28,2,13,14
11664,20.0,4.6,19.207222,72.972281,19.217222,72.982281,5.0,4,1,1,2,1.0,0,3.0,16,3,28,10
27557,29.0,4.7,23.353783,85.326967,23.413783,85.386967,2.0,4,1,3,2,0.0,0,,19,4,1,22
40580,23.0,4.7,17.411028,78.329645,17.451028,78.369645,2.0,2,1,2,2,1.0,0,3.0,22,3,11,13
1753,28.0,4.3,11.022169,76.999594,11.072169,77.049594,6.0,1,0,3,3,3.0,0,,50,3,1,20
12459,30.0,4.7,23.351058,85.325731,23.391058,85.365731,,3,2,1,1,1.0,0,3.0,28,3,26,16
33304,21.0,5.0,12.337928,76.617889,12.467928,76.747889,2.0,1,2,1,1,1.0,0,3.0,19,4,4,19
2674,23.0,4.1,13.044694,80.26147,13.064694,80.28147,2.0,4,0,3,3,1.0,0,3.0,22,4,1,12
14770,35.0,4.8,9.982834,76.283268,10.002834,76.303268,1.0,4,2,1,3,0.0,0,,25,2,17,10
21912,38.0,4.8,10.96185,76.971082,11.07185,77.081082,4.0,1,1,2,2,1.0,0,3.0,36,3,16,20
15854,22.0,4.9,13.058616,80.264151,13.088616,80.294151,5.0,4,0,1,3,0.0,0,,24,3,15,22
7259,31.0,4.8,21.186438,72.794115,21.196438,72.804115,6.0,4,2,4,2,0.0,0,3.0,16,3,9,8
9545,30.0,4.7,21.17106,72.789292,21.24106,72.859292,,1,0,1,3,0.0,0,3.0,52,3,10,21
42409,20.0,4.8,30.895817,75.813112,31.035817,75.953112,4.0,4,1,2,3,1.0,0,3.0,23,2,14,22
39633,35.0,4.9,12.970324,77.645748,13.020324,77.695748,5.0,4,1,2,3,1.0,0,3.0,17,3,1,23
16641,32.0,4.7,12.323194,76.630583,12.383194,76.690583,5.0,1,0,4,3,0.0,0,3.0,30,3,1,20
8162,34.0,4.8,21.15276,72.778059,21.23276,72.858059,6.0,3,0,4,3,1.0,0,3.0,25,3,4,17
40076,34.0,4.9,19.1813,72.836191,19.2113,72.866191,1.0,4,1,4,2,1.0,0,3.0,25,3,21,23
24586,20.0,4.8,27.163303,78.057044,27.233303,78.127044,4.0,4,1,3,3,0.0,0,3.0,23,2,12,22
20428,25.0,4.6,22.753839,75.897429,22.863838,76.007429,1.0,4,2,2,2,0.0,0,,15,3,18,23
32113,38.0,3.7,11.026117,76.944652,11.156117,77.074652,,3,2,2,2,1.0,0,3.0,36,3,25,19
44759,25.0,4.6,11.003681,76.975525,11.113681,77.085525,,1,1,2,2,1.0,0,3.0,25,3,8,19
44540,38.0,4.7,13.049645,80.242268,13.069645,80.262268,1.0,4,1,1,2,1.0,0,3.0,28,4,1,9
25126,38.0,4.9,19.131141,72.813074,19.26114,72.943074,6.0,3,2,4,3,1.0,0,3.0,18,3,16,18
14122,26.0,4.2,26.905287,75.794592,27.045287,75.934592,5.0,1,2,1,2,1.0,0,3.0,33,3,4,20
3759,28.0,4.8,0.0,0.0,0.04,0.04,2.0,2,2,4,2,1.0,0,,17,3,21,14
15062,20.0,4.3,19.176269,72.836721,19.206269,72.866721,,4,0,1,3,0.0,0,3.0,15,3,1,23
32326,25.0,4.9,19.254567,72.848923,19.264567,72.858923,6.0,4,1,3,2,1.0,0,,20,4,5,9
30090,34.0,4.0,12.299524,76.64262,12.429524,76.77262,5.0,4,0,4,3,1.0,0,3.0,36,4,4,23
2035,38.0,4.6,23.214459,77.434976,23.324459,77.544976,4.0,1,0,3,3,2.0,0,3.0,49,2,12,20
572,21.0,5.0,26.766536,75.837333,26.846536,75.917333,5.0,4,1,4,3,0.0,0,3.0,25,3,10,23
2073,35.0,5.0,26.469003,80.316344,26.489003,80.336344,6.0,4,2,2,2,0.0,0,3.0,11,2,15,9
24793,39.0,4.7,17.431668,78.408321,17.521668,78.498321,4.0,4,1,4,2,0.0,0,,27,3,31,22
1815,39.0,4.1,21.186608,72.794136,21.226608,72.834136,1.0,2,1,3,3,1.0,0,3.0,33,4,3,19
39137,26.0,4.8,27.163303,78.057044,27.273303,78.167044,6.0,3,0,1,3,0.0,0,3.0,19,2,12,17
42953,24.0,4.4,11.001852,76.976268,11.021852,76.996268,,4,0,3,3,1.0,0,3.0,16,3,26,10
14142,32.0,4.4,22.308096,73.167753,22.338096,73.197753,2.0,4,0,1,3,1.0,0,3.0,26,4,5,1
29442,38.0,5.0,18.51421,73.838429,18.52421,73.848429,2.0,2,1,3,3,1.0,0,3.0,27,3,28,11
6179,29.0,4.8,23.374878,85.335739,23.484878,85.445739,6.0,3,2,1,2,0.0,0,3.0,12,3,18,17
26021,25.0,4.9,18.53408,73.89852,18.59408,73.95852,2.0,1,0,3,3,1.0,0,3.0,29,3,13,19
38084,30.0,4.5,19.874449,75.360232,20.004449,75.490232,,4,2,4,2,0.0,0,3.0,21,2,18,23
45334,30.0,4.7,12.334022,76.618203,12.344022,76.628203,4.0,2,0,4,3,1.0,0,3.0,30,3,11,11
10911,30.0,5.0,17.455894,78.375467,17.535894,78.455467,4.0,4,0,3,3,2.0,0,3.0,43,3,18,24
41867,24.0,4.9,11.008638,76.984311,11.098638,77.074311,4.0,1,0,4,3,1.0,0,3.0,37,3,12,21
20470,24.0,4.6,12.323994,76.626167,12.383994,76.686167,6.0,1,1,1,3,0.0,0,,11,4,5,19
13554,28.0,4.6,12.934365,77.616155,12.954365,77.636155,2.0,2,2,1,1,1.0,0,3.0,13,4,1,11
4853,37.0,4.9,18.536562,73.896485,18.576562,73.936485,,2,2,3,3,1.0,0,3.0,28,4,1,13
31565,30.0,4.7,13.026286,80.275235,13.046286,80.295235,6.0,4,0,3,3,0.0,0,,29,3,15,9
4886,38.0,4.7,23.357804,85.325146,23.417804,85.385146,5.0,1,2,4,2,0.0,0,3.0,38,4,3,19
21556,28.0,4.1,12.321214,76.621094,12.451214,76.751094,5.0,1,2,2,2,0.0,0,3.0,42,3,29,19
14034,35.0,4.1,22.727021,75.884167,22.857021,76.014167,1.0,3,2,2,3,1.0,0,3.0,33,3,20,19
27520,35.0,4.7,26.913483,75.803139,26.963483,75.853139,,1,1,4,3,0.0,0,3.0,26,3,26,20
11352,23.0,4.9,22.75004,75.902847,22.77004,75.922847,2.0,4,1,1,3,0.0,0,3.0,19,3,24,8
38381,37.0,4.7,11.010375,76.95295,11.080375,77.02295,4.0,4,2,2,2,0.0,0,,30,3,18,23
25392,23.0,4.9,19.12663,72.829976,19.14663,72.849976,5.0,2,2,4,2,1.0,0,3.0,27,3,7,12
19983,39.0,4.6,0.0,0.0,0.06,0.06,6.0,1,0,3,3,0.0,0,3.0,25,3,5,19
16625,28.0,4.7,17.422819,78.449578,17.442819,78.469578,2.0,4,1,2,3,0.0,0,3.0,12,3,17,16
17924,38.0,4.8,22.74806,75.8934,22.80806,75.9534,6.0,1,2,1,1,0.0,0,3.0,18,3,17,19
15146,28.0,4.6,13.091809,80.219104,13.141809,80.269104,1.0,3,0,2,3,1.0,0,3.0,11,3,13,17
12854,23.0,4.9,22.307898,73.167788,22.317898,73.177788,2.0,2,1,3,2,1.0,0,3.0,29,3,13,11
20867,36.0,4.7,26.481547,80.299775,26.561547,80.379775,,3,1,4,2,1.0,0,3.0,25,2,14,18
12492,27.0,4.5,19.055831,72.833984,19.165831,72.943984,2.0,4,0,4,3,1.0,0,3.0,24,3,14,24
37495,24.0,4.9,11.006686,76.951736,11.086686,77.031736,4.0,3,2,1,2,1.0,0,3.0,31,3,14,18
15359,20.0,4.8,23.351489,85.324253,23.431489,85.404253,1.0,3,0,2,3,0.0,0,3.0,32,3,25,17
5904,33.0,4.5,18.546947,73.900626,18.616947,73.970626,,3,2,2,3,1.0,0,3.0,26,3,18,19
21496,22.0,5.0,0.0,0.0,0.11,0.11,4.0,1,0,4,3,0.0,0,3.0,43,2,16,21
35752,37.0,4.7,26.902908,75.792934,26.962908,75.852934,5.0,4,2,4,3,1.0,0,,17,3,21,23
23049,20.0,4.2,15.546594,73.760431,15.566594,73.780431,1.0,4,0,3,3,1.0,0,3.0,24,2,11,9
18923,31.0,4.7,22.751857,75.866699,22.841857,75.956699,1.0,4,1,1,2,1.0,0,3.0,26,3,23,23
3086,29.0,5.0,21.186884,72.793616,21.296884,72.903616,1.0,1,1,3,2,1.0,0,3.0,27,3,12,19
30084,28.0,4.1,26.88842,75.800689,26.99842,75.910689,1.0,1,0,1,3,1.0,0,3.0,35,4,2,20
360,32.0,4.9,13.026286,80.275235,13.136286,80.385235,5.0,4,1,4,3,1.0,0,3.0,29,3,27,23
22281,30.0,4.1,9.970717,76.285447,10.060717,76.375447,4.0,1,2,4,2,2.0,0,3.0,47,2,14,21
39331,26.0,3.9,12.297954,76.665169,12.347954,76.715169,6.0,1,0,4,3,1.0,0,3.0,53,3,26,21
19739,37.0,4.4,0.0,0.0,0.02,0.02,2.0,4,0,1,3,1.0,0,3.0,25,3,19,9
17433,33.0,4.7,23.266261,77.379605,23.336261,77.449605,4.0,1,2,1,2,2.0,0,3.0,49,2,18,20
35487,28.0,4.8,17.440827,78.393391,17.450827,78.403391,2.0,4,2,2,2,1.0,0,3.0,15,3,15,9
42035,26.0,4.6,13.027018,80.254791,13.137018,80.364791,6.0,4,0,3,3,1.0,0,3.0,28,3,16,23
16933,22.0,4.6,21.17106,72.789292,21.25106,72.869292,1.0,1,2,3,2,0.0,0,,19,3,27,19
18608,21.0,4.8,11.02091,76.940432,11.09091,77.010432,2.0,3,1,2,3,1.0,0,,15,3,25,18
12899,32.0,4.0,26.766536,75.837333,26.776536,75.847333,5.0,2,2,3,2,0.0,0,3.0,38,3,26,12
43619,22.0,4.7,12.913041,77.683237,12.983041,77.753237,6.0,1,1,3,3,0.0,0,,17,3,8,19
33902,29.0,5.0,12.970221,77.645396,13.080221,77.755396,2.0,1,2,1,3,0.0,0,3.0,15,3,16,21
38960,26.0,4.7,17.411028,78.329645,17.431028,78.349645,4.0,4,0,4,3,1.0,0,3.0,20,3,30,9
10747,23.0,4.7,12.970324,77.645748,13.030324,77.705748,2.0,3,0,2,3,0.0,0,3.0,27,3,26,18
9739,27.0,4.6,11.008638,76.984311,11.138638,77.114311,5.0,3,1,4,2,0.0,0,3.0,25,3,4,18
28237,30.0,4.0,12.935662,77.61413,13.065662,77.74413,4.0,1,1,3,3,1.0,0,3.0,35,3,27,21
43596,24.0,4.6,22.745049,75.892471,22.775049,75.922471,4.0,4,1,2,3,1.0,0,,10,3,5,22
35429,38.0,4.9,21.157735,72.768778,21.227735,72.838778,,3,0,2,3,1.0,0,3.0,41,4,4,17
34025,33.0,4.5,22.651847,75.881991,22.671847,75.901991,6.0,4,0,1,3,1.0,0,3.0,25,3,24,8
37918,30.0,4.7,21.157735,72.768778,21.247735,72.858778,,1,0,3,3,1.0,0,,25,3,2,21
23399,28.0,4.9,12.316967,76.603067,12.376967,76.663067,1.0,3,1,1,3,1.0,0,3.0,25,3,19,17
16829,28.0,4.6,23.369746,85.33982,23.439746,85.40982,4.0,4,2,3,2,1.0,0,3.0,28,3,6,22
19172,35.0,4.5,23.333017,85.3172,23.403017,85.3872,,3,2,3,3,2.0,0,3.0,39,4,6,18
32485,24.0,4.5,23.357804,85.325146,23.427804,85.395146,2.0,4,0,4,3,1.0,0,,18,3,4,23
45095,32.0,4.8,26.891191,75.802083,26.971191,75.882083,5.0,4,0,1,3,1.0,0,3.0,41,3,2,24
13553,27.0,4.6,21.15276,72.778059,21.23276,72.858059,2.0,1,0,1,3,1.0,0,3.0,30,3,8,20
4873,22.0,4.8,30.899584,75.809346,30.909584,75.819346,4.0,4,2,2,1,1.0,0,3.0,16,2,15,8
2307,22.0,4.8,23.359033,85.325347,23.469033,85.435347,5.0,1,0,1,3,1.0,0,,46,3,29,19
8642,21.0,4.8,11.022298,76.998349,11.112298,77.088349,1.0,4,1,1,3,0.0,0,3.0,13,3,18,22
3923,28.0,4.7,21.170798,72.790489,21.240798,72.860489,4.0,3,2,3,2,1.0,0,3.0,39,4,4,18
43095,25.0,4.6,22.311603,73.165012,22.321603,73.175012,2.0,2,2,3,3,0.0,0,,10,4,5,11
43065,29.0,4.7,22.569367,88.433187,22.609367,88.473187,1.0,3,1,1,2,1.0,0,3.0,29,2,17,16
19136,25.0,4.5,21.17106,72.789292,21.25106,72.869292,1.0,1,1,3,3,1.0,0,3.0,18,3,18,20
42870,33.0,4.1,22.307898,73.167788,22.437898,73.297788,5.0,1,1,4,3,2.0,0,3.0,43,3,29,21
8022,29.0,5.0,17.440827,78.393391,17.510827,78.463391,,3,0,1,3,1.0,0,3.0,38,3,6,18
8951,29.0,5.0,17.431668,78.408321,17.501668,78.478321,5.0,1,0,2,3,2.0,0,3.0,48,3,2,19
31609,37.0,4.9,18.55144,73.804855,18.58144,73.834855,5.0,4,1,1,3,1.0,0,,19,3,11,22
42589,37.0,5.0,13.054347,80.257221,13.084347,80.287221,4.0,1,1,2,3,1.0,0,3.0,39,3,21,22
27554,34.0,4.7,22.695207,75.866059,22.725207,75.896059,4.0,4,1,3,2,1.0,0,3.0,16,4,5,9
19126,22.0,5.0,12.979096,77.640625,13.059096,77.720625,6.0,4,0,1,3,1.0,0,3.0,26,3,31,23
22442,34.0,4.2,26.910262,75.783013,26.960262,75.833013,2.0,3,1,1,3,0.0,0,3.0,31,3,17,18
34152,36.0,4.7,9.966783,76.242981,10.036783,76.312981,1.0,3,1,3,3,1.0,0,3.0,25,2,18,17
1840,29.0,4.4,0.0,0.0,0.04,0.04,1.0,2,0,3,3,1.0,0,3.0,38,3,5,14
22665,35.0,4.0,22.744648,75.894377,22.794648,75.944377,4.0,1,1,1,3,1.0,0,3.0,34,3,15,19
19762,22.0,4.9,22.75004,75.902847,22.83004,75.982847,4.0,1,0,2,3,2.0,1,3.0,46,3,4,21
2628,33.0,4.6,11.025083,77.015393,11.155083,77.145393,2.0,3,1,2,3,1.0,0,3.0,30,3,16,18
13558,34.0,4.6,22.311844,73.165081,22.381844,73.235081,1.0,1,1,1,2,0.0,0,3.0,26,3,23,21
40234,36.0,3.9,17.410371,78.437225,17.490371,78.517225,6.0,1,1,4,3,1.0,0,3.0,32,3,16,20
6573,28.0,4.8,19.866969,75.318894,19.926969,75.378894,4.0,3,2,3,3,0.0,0,,11,2,13,18
10994,26.0,4.6,22.651847,75.881991,22.721847,75.951991,4.0,1,2,3,3,1.0,0,3.0,38,3,6,21
36672,30.0,4.9,22.311603,73.165012,22.361603,73.215012,6.0,1,2,1,1,1.0,0,3.0,15,4,1,20
20204,23.0,4.4,0.0,0.0,0.01,0.01,1.0,4,0,2,3,0.0,0,,20,3,15,17
36611,37.0,4.5,11.008638,76.984311,11.038638,77.014311,4.0,3,1,1,3,1.0,0,3.0,18,3,17,17
22383,31.0,4.7,25.454648,81.834502,25.514648,81.894502,6.0,1,0,1,3,0.0,0,3.0,28,2,11,22
20589,29.0,4.8,21.15276,72.778059,21.22276,72.848059,4.0,4,1,1,2,1.0,0,3.0,21,3,6,23
24392,29.0,5.0,22.307898,73.167788,22.417898,73.277788,6.0,4,1,4,3,1.0,0,3.0,29,3,31,23
36080,32.0,4.1,22.722634,75.886959,22.812634,75.976959,,1,0,3,3,0.0,0,,49,3,2,20
20353,39.0,4.7,23.359194,85.325447,23.409194,85.375447,1.0,3,0,4,3,0.0,0,,25,3,15,18
40903,30.0,4.9,26.905287,75.794592,26.925287,75.814592,2.0,2,1,4,3,1.0,0,3.0,26,3,30,11
23826,27.0,4.9,0.0,0.0,0.13,0.13,5.0,1,1,3,3,1.0,0,3.0,44,3,14,21
12747,26.0,4.7,12.325461,76.632278,12.345461,76.652278,1.0,4,1,1,2,0.0,0,3.0,10,3,5,8
7278,36.0,3.8,22.551084,88.354127,22.661084,88.464127,6.0,1,2,3,3,1.0,0,3.0,33,2,16,20
8121,23.0,4.7,22.514119,88.362504,22.574119,88.422504,5.0,1,2,2,2,1.0,0,,34,2,13,21
34332,29.0,4.7,12.979166,77.640709,13.109166,77.770709,,4,1,3,2,0.0,0,3.0,10,3,6,23
43307,34.0,4.1,11.003008,76.97544,11.033008,77.00544,2.0,4,0,4,3,0.0,0,,24,3,15,23
3653,30.0,4.1,19.121999,72.908493,19.131999,72.918493,,4,0,4,3,0.0,0,3.0,29,3,26,10
13353,26.0,4.8,22.311603,73.165012,22.401603,73.255012,4.0,4,2,1,3,0.0,0,3.0,22,3,18,22
18948,35.0,3.5,18.543626,73.905101,18.623626,73.985101,1.0,1,1,4,2,0.0,0,3.0,35,3,31,21
16570,30.0,4.7,-13.022394,80.242439,13.152394,80.372439,2.0,1,2,3,2,1.0,0,3.0,27,4,6,19
17833,34.0,4.2,18.994237,72.825553,19.014237,72.845553,2.0,4,0,1,3,0.0,0,3.0,33,3,30,8
7561,35.0,4.9,18.927584,72.832585,18.937584,72.842585,5.0,4,2,3,2,1.0,0,3.0,18,3,17,8
23123,30.0,4.9,18.539299,73.897902,18.649299,74.007902,4.0,4,2,4,1,1.0,0,3.0,28,3,25,23
31674,24.0,4.9,11.010375,76.95295,11.090375,77.03295,1.0,4,2,4,2,0.0,0,,10,3,10,23
19413,20.0,4.8,19.12663,72.829976,19.16663,72.869976,,3,2,2,2,0.0,0,3.0,24,3,1,15
11324,35.0,4.6,19.003517,72.82765,19.013517,72.83765,5.0,4,2,1,1,1.0,0,3.0,16,3,3,8
5702,26.0,4.7,12.323225,76.630028,12.343225,76.650028,1.0,2,1,4,2,0.0,0,,10,3,15,11
24788,29.0,4.7,12.311072,76.654878,12.341072,76.684878,5.0,4,1,3,2,0.0,0,3.0,18,3,7,22
4888,39.0,4.4,17.483216,78.552111,17.593216,78.662111,5.0,4,0,3,3,1.0,1,3.0,42,3,31,23
26388,39.0,5.0,26.892312,75.806896,26.922313,75.836896,5.0,4,0,2,3,0.0,0,3.0,24,4,1,23
13231,25.0,4.8,21.186608,72.794136,21.316608,72.924136,6.0,1,0,2,3,0.0,0,3.0,20,3,14,20
44065,39.0,4.8,19.876219,75.346017,19.886219,75.356017,1.0,2,0,1,3,0.0,1,3.0,42,2,17,11
36636,23.0,4.6,26.90294,75.793007,27.01294,75.903007,4.0,1,0,4,3,1.0,0,3.0,44,3,2,19
15168,39.0,4.4,12.934179,77.615797,13.064179,77.745797,5.0,3,1,4,3,2.0,0,3.0,44,3,2,18
9734,34.0,4.8,23.355164,85.324097,23.415164,85.384097,,4,1,3,2,1.0,0,3.0,25,3,9,22
42370,31.0,4.7,23.359194,85.325447,23.379194,85.345447,4.0,2,1,4,3,1.0,0,3.0,25,3,17,11
40275,27.0,4.9,12.906229,77.596791,12.986229,77.676791,2.0,4,2,2,2,1.0,0,3.0,17,3,25,22
4577,39.0,4.7,12.334022,76.618203,12.424022,76.708203,,4,0,4,3,0.0,0,,21,3,10,23
16722,35.0,4.4,30.899584,75.809346,30.939584,75.849346,,2,0,4,3,0.0,0,3.0,33,2,11,13
35340,34.0,4.0,0.0,0.0,0.05,0.05,1.0,1,1,4,2,1.0,0,3.0,34,3,21,20
40854,28.0,4.9,19.055831,72.833984,19.065831,72.843984,1.0,2,0,4,3,1.0,0,3.0,22,4,5,12
18312,39.0,5.0,26.913726,75.75282,26.953726,75.792821,6.0,3,1,2,3,1.0,0,3.0,19,3,1,17
4529,34.0,4.7,19.254567,72.848923,19.304567,72.898923,6.0,4,0,4,3,0.0,0,3.0,25,3,26,22
14922,21.0,4.8,11.02091,76.940432,11.11091,77.030432,2.0,4,2,2,2,0.0,0,,12,3,25,23
24407,39.0,5.0,22.753839,75.897429,22.793838,75.937429,6.0,2,2,2,3,0.0,0,3.0,23,3,19,14
29009,38.0,4.8,15.506205,73.766668,15.526205,73.786668,5.0,4,1,2,3,0.0,0,3.0,18,2,15,11
28412,35.0,4.9,22.727021,75.884167,22.797021,75.954167,5.0,1,1,2,3,3.0,1,3.0,49,4,6,19
12513,38.0,3.5,27.165108,78.015053,27.255108,78.105053,1.0,3,1,2,3,1.0,0,3.0,33,2,12,19
15224,28.0,4.6,21.186438,72.794115,21.216438,72.824115,1.0,1,0,1,3,1.0,0,,29,3,7,20
11529,22.0,4.7,12.323994,76.626167,12.333994,76.636167,5.0,4,1,4,3,0.0,0,,11,3,30,8
11082,22.0,4.9,21.185047,72.80859,21.275047,72.89859,2.0,1,1,4,2,1.0,0,3.0,19,3,20,20
29507,34.0,4.3,26.921411,75.793604,26.931411,75.803604,2.0,4,0,2,3,1.0,0,3.0,34,3,30,8
